date,close,open,high,low,volume,change_pct,daily_return,log_return,direction,abs_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_5d_ann,rolling_vol_21d_ann,price_range_pct,is_trading_day
2022-01-03,86.86,86.45,87.65,86.16,2290000.0,0.77%,,,0.0,,,,,,0.01723539618276471,1
2022-01-04,87.92,87.35,88.3,87.17,1970000.0,1.22%,0.012203545935989046,0.012129682988690204,1.0,0.012203545935989046,,,,,0.012936462507155072,1
2022-01-05,87.97,88.3,88.9,87.6,1880000.0,0.06%,0.0005686988171065277,0.0005685371692173106,1.0,0.0005686988171065277,,,,,0.014722536806342145,1
2022-01-06,87.02,87.97,88.0,86.57,619510.0,-1.08%,-0.010799136069114534,-0.01085786997204918,0.0,0.010799136069114534,,,,,0.01625554166193028,1
2022-01-07,87.53,87.4,87.9,87.02,782140.0,0.59%,0.005860721673178748,0.00584361445181275,1.0,0.005860721673178748,,,,,0.010068649885583633,1
2022-01-08,87.53,87.4,87.9,87.02,782140.0,0.59%,0.005860721673178748,0.00584361445181275,1.0,0.005860721673178748,,,,,0.010068649885583633,0
2022-01-09,87.53,87.4,87.9,87.02,782140.0,0.59%,0.005860721673178748,0.00584361445181275,1.0,0.005860721673178748,,,,,0.010068649885583633,0
2022-01-10,87.95,87.53,88.85,87.06,2180000.0,0.48%,0.0047983548497658735,0.0047868794392206225,1.0,0.0047983548497658735,0.008533806865606175,,0.13546998421829726,,0.02045013138352556,1
2022-01-11,87.29,87.99,88.42,86.85,1010000.0,-0.75%,-0.007504263786242138,-0.007532562436308743,0.0,0.007504263786242138,0.0074443748168794305,,0.11817578659088986,,0.017842936697352058,1
2022-01-12,88.47,87.6,89.4,87.59,4360000.0,1.35%,0.01351815786458932,0.0134276027480362,1.0,0.01351815786458932,0.01006939563487472,,0.15984670021558714,,0.020662100456621032,1
2022-01-13,88.27,88.25,89.0,88.1,977740.0,-0.23%,-0.00226065332881209,-0.002263212463153135,0.0,0.00226065332881209,0.008039611673078203,,0.12762487874698106,,0.010198300283286183,1
2022-01-14,88.7,89.0,89.75,88.5,3530000.0,0.49%,0.004871417242551246,0.004859590283392294,1.0,0.004871417242551246,0.007959732066464376,,0.12635682930342593,,0.014044943820224719,1
2022-01-15,88.7,89.0,89.75,88.5,3530000.0,0.49%,0.004871417242551246,0.004859590283392294,1.0,0.004871417242551246,0.007959732066464376,,0.12635682930342593,,0.014044943820224719,0
