date,post_count,score_mean,score_sum,comms_num_sum,is_wsb_noise_mean,word_count_mean
2021-04-21,1,21.0,21,7,0.0,122.0
2021-04-22,4,105.75,423,329,0.25,170.5
2021-04-23,3,297.6666666666667,893,154,0.0,566.3333333333334
2021-04-24,2,102.0,204,89,0.5,567.0
2021-04-25,1,181.0,181,118,0.0,238.0
2021-04-26,2,284.5,569,161,0.0,20.0
2021-04-27,4,127.5,510,209,0.0,28.75
2021-04-28,3,341.0,1023,247,0.3333333333333333,669.0
2021-04-29,8,311.375,2491,979,0.125,562.125
2021-04-30,5,2687.6,13438,1485,0.2,721.8
2021-05-01,7,47.42857142857143,332,127,0.14285714285714285,111.0
2021-05-05,3,38.0,114,77,0.3333333333333333,352.3333333333333
2021-05-06,7,3.0,21,95,0.0,503.42857142857144
2021-05-07,7,119.57142857142857,837,596,0.0,775.8571428571429
2021-05-08,5,1797.4,8987,1336,0.2,595.2
2021-05-09,6,163.66666666666666,982,742,0.3333333333333333,784.5
2021-05-10,6,686.3333333333334,4118,1923,0.16666666666666666,534.1666666666666
2021-05-11,7,328.85714285714283,2302,315,0.2857142857142857,182.28571428571428
2021-05-12,6,673.5,4041,638,0.0,473.1666666666667
2021-05-13,3,27.666666666666668,83,233,0.3333333333333333,161.33333333333334
2021-05-14,9,2044.6666666666667,18402,2850,0.0,789.1111111111111
2021-05-15,1,20.0,20,22,0.0,132.0
2021-05-16,1,169.0,169,100,0.0,361.0
2021-05-17,2,34.5,69,87,0.0,654.5
2021-05-18,3,6853.333333333333,20560,2415,0.0,109.0
2021-05-20,2,75.5,151,173,0.5,119.0
2021-05-21,5,42.6,213,301,0.2,202.4
2021-05-22,3,30.666666666666668,92,181,0.0,335.6666666666667
2021-05-23,3,143.33333333333334,430,199,0.6666666666666666,1090.6666666666667
2021-05-24,3,498.6666666666667,1496,868,0.0,381.0
2021-05-25,4,242.5,970,383,0.0,11.5
2021-05-26,7,162.0,1134,326,0.0,84.85714285714286
2021-05-27,8,203.625,1629,664,0.25,479.125
2021-05-28,9,68.77777777777777,619,298,0.2222222222222222,555.0
2021-05-29,2,81.0,162,115,0.0,2934.5
2021-05-30,3,91.0,273,193,0.0,795.6666666666666
2021-05-31,3,3918.6666666666665,11756,1764,0.0,435.6666666666667
2021-06-01,3,102.0,306,81,0.0,269.6666666666667
2021-06-10,5,191.4,957,338,0.2,407.4
2021-06-11,12,183.25,2199,965,0.4166666666666667,529.9166666666666
2021-06-12,6,58.166666666666664,349,266,0.16666666666666666,468.8333333333333
2021-06-15,2,745.0,1490,383,0.5,2638.0
2021-06-16,9,164.88888888888889,1484,507,0.3333333333333333,495.22222222222223
2021-06-17,11,228.27272727272728,2511,1227,0.2727272727272727,1137.090909090909
2021-06-18,7,166.85714285714286,1168,479,0.2857142857142857,534.5714285714286
2021-06-19,6,91.0,546,258,0.0,35.166666666666664
2021-06-20,3,312.6666666666667,938,238,0.3333333333333333,587.3333333333334
2021-06-21,4,379.0,1516,750,0.25,775.75
2021-06-22,6,226.33333333333334,1358,487,0.16666666666666666,499.1666666666667
2021-06-23,4,35.0,140,240,0.25,200.75
2021-06-24,17,1462.235294117647,24858,4565,0.35294117647058826,203.0
2021-06-25,14,236.78571428571428,3315,942,0.14285714285714285,79.28571428571429
2021-06-26,8,104.75,838,589,0.125,690.625
2021-06-28,1,0.0,0,4,0.0,12.0
2021-06-29,8,346.125,2769,451,0.25,386.375
2021-06-30,3,1770.0,5310,1272,0.0,478.6666666666667
2021-07-01,14,39.92857142857143,559,383,0.0,44.857142857142854
2021-07-02,5,34.4,172,102,0.0,216.2
2021-07-03,2,166.5,333,116,0.5,501.0
2021-07-04,2,38.0,76,181,0.5,362.0
2021-07-05,2,124.5,249,231,1.0,1381.0
2021-07-06,4,41.25,165,94,0.0,394.5
2021-07-07,3,44.333333333333336,133,229,0.0,476.6666666666667
2021-07-08,6,1117.6666666666667,6706,1089,0.16666666666666666,620.1666666666666
2021-07-09,3,104.66666666666667,314,273,0.3333333333333333,7.666666666666667
2021-07-10,2,134.0,268,417,0.0,455.5
2021-07-12,1,29.0,29,213,0.0,129.0
2021-07-13,5,143.0,715,339,0.0,483.2
2021-07-14,7,56.42857142857143,395,396,0.0,174.42857142857142
2021-07-15,10,401.8,4018,1076,0.2,668.5
2021-07-16,5,292.2,1461,602,0.0,297.0
2021-07-18,3,241.33333333333334,724,597,0.3333333333333333,839.3333333333334
2021-07-19,3,27.0,81,38,0.6666666666666666,750.3333333333334
2021-07-20,1,53.0,53,59,1.0,315.0
2021-08-02,3,250.0,750,698,0.0,330.6666666666667
2021-08-03,3,146.33333333333334,439,1883,0.3333333333333333,379.6666666666667
2021-08-04,2,54.0,108,93,0.5,19.0
2021-08-05,4,27.75,111,119,0.25,335.5
2021-08-06,4,793.5,3174,1154,0.5,2414.0
2021-08-08,1,83.0,83,43,0.0,292.0
2021-08-09,3,97.33333333333333,292,180,0.6666666666666666,1205.3333333333333
2021-08-10,2,199.0,398,238,0.0,11.5
2021-08-11,7,122.57142857142857,858,553,0.2857142857142857,368.7142857142857
2021-08-12,3,181.33333333333334,544,341,0.0,1131.6666666666667
2021-08-16,1,13.0,13,24,0.0,351.0
