date,close,open,high,low,volume,change_pct,daily_return,log_return,direction,abs_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_5d_ann,rolling_vol_21d_ann,price_range_pct,is_trading_day,post_count,vader_compound_mean,vader_compound_std,vader_compound_sum,lm_net_mean,lm_net_std,lm_negative_mean,lm_positive_mean,lm_uncertainty_mean,lm_litigious_mean,pct_positive_vader,pct_negative_vader,pct_neutral_vader,pct_positive_lm,pct_negative_lm,pct_neutral_lm,has_sentiment,sentiment_gap_days,vader_compound_mean_lag1,vader_compound_mean_lag2,vader_compound_mean_lag3,vader_compound_mean_lag5,lm_net_mean_lag1,lm_net_mean_lag2,lm_net_mean_lag3,lm_net_mean_lag5,pct_positive_vader_lag1,pct_positive_vader_lag2,pct_positive_vader_lag3,pct_positive_vader_lag5,pct_negative_vader_lag1,pct_negative_vader_lag2,pct_negative_vader_lag3,pct_negative_vader_lag5,pct_positive_lm_lag1,pct_positive_lm_lag2,pct_positive_lm_lag3,pct_positive_lm_lag5,pct_negative_lm_lag1,pct_negative_lm_lag2,pct_negative_lm_lag3,pct_negative_lm_lag5,lm_uncertainty_mean_lag1,lm_uncertainty_mean_lag2,lm_uncertainty_mean_lag3,lm_uncertainty_mean_lag5,post_count_lag1,post_count_lag2,post_count_lag3,post_count_lag5,return_t1,return_t2,return_t3,direction_t1,abs_return_t1
2025-04-11,212.16,214.75,214.75,211.75,2690000.0,-1.21%,-0.0120605355064028,-0.0121338538668671,0.0,0.0120605355064028,0.0353128278217503,0.025825527207151,0.5605737630407654,0.4099675348035241,0.0139697322467986,1,14.0,0.5504142857142857,0.6576827150126219,7.7058,0.0117050874135211,0.0274703540579423,3.571428571428572,4.571428571428571,2.071428571428572,0.1428571428571428,0.7857142857142857,0.2142857142857142,0.0,0.6428571428571429,0.1428571428571428,0.2142857142857142,True,0,0.46658,0.7005538461538462,0.4861999999999999,0.726,0.0069521239688535,0.0078264400614972,-0.0002470355731225,-0.0136160714285714,0.8,0.8461538461538461,0.75,1.0,0.2,0.1538461538461538,0.25,0.0,0.4,0.5384615384615384,0.25,0.0,0.4,0.2307692307692307,0.25,0.5,0.2,1.8461538461538465,0.75,0.75,5.0,13.0,4.0,4.0,-0.0121338538668671,-0.0121338538668671,-0.0006600971525459,0.0,0.0120605355064028
2025-04-12,212.16,214.75,214.75,211.75,2690000.0,-1.21%,-0.0120605355064028,-0.0121338538668671,0.0,0.0120605355064028,0.0353128278217503,0.025825527207151,0.5605737630407654,0.4099675348035241,0.0139697322467986,0,5.0,0.4913600000000001,0.5911148729308036,2.4568000000000003,0.0087379653863381,0.0369966460625238,1.4,1.4,1.0,0.0,0.8,0.2,0.0,0.4,0.6,0.0,True,0,0.5504142857142857,0.46658,0.7005538461538462,0.10907,0.0117050874135211,0.0069521239688535,0.0078264400614972,-0.0242343289818108,0.7857142857142857,0.8,0.8461538461538461,0.6,0.2142857142857142,0.2,0.1538461538461538,0.4,0.6428571428571429,0.4,0.5384615384615384,0.3,0.1428571428571428,0.4,0.2307692307692307,0.4,2.071428571428572,0.2,1.8461538461538465,0.7,14.0,5.0,13.0,10.0,-0.0121338538668671,-0.0006600971525459,0.0107896153914015,0.0,0.0120605355064028
2025-04-13,212.16,214.75,214.75,211.75,2690000.0,-1.21%,-0.0120605355064028,-0.0121338538668671,0.0,0.0120605355064028,0.0353128278217503,0.025825527207151,0.5605737630407654,0.4099675348035241,0.0139697322467986,0,3.0,0.4655999999999999,0.5631257142059843,1.3967999999999998,-0.0117542032435649,0.0108124518964583,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,True,0,0.4913600000000001,0.5504142857142857,0.46658,0.4861999999999999,0.0087379653863381,0.0117050874135211,0.0069521239688535,-0.0002470355731225,0.8,0.7857142857142857,0.8,0.75,0.2,0.2142857142857142,0.2,0.25,0.4,0.6428571428571429,0.4,0.25,0.6,0.1428571428571428,0.4,0.25,1.0,2.071428571428572,0.2,0.75,5.0,14.0,5.0,4.0,-0.0006600971525459,0.0107896153914015,-0.0123000470955338,0.0,0.0006598793363498
2025-04-14,212.02,213.5,215.0,210.45,2030000.0,-0.07%,-0.0006598793363498,-0.0006600971525459,0.0,0.0006598793363498,0.0222896052081016,0.0242461123272396,0.3538365132146829,0.384895100868082,0.0213114754098361,1,8.0,0.5152625,0.5742872898210442,4.1221,-0.0015103159252095,0.0167940875963995,0.375,0.875,0.75,0.0,0.75,0.125,0.125,0.25,0.125,0.625,True,0,0.4655999999999999,0.4913600000000001,0.5504142857142857,0.7005538461538462,-0.0117542032435649,0.0087379653863381,0.0117050874135211,0.0078264400614972,0.6666666666666666,0.8,0.7857142857142857,0.8461538461538461,0.3333333333333333,0.2,0.2142857142857142,0.1538461538461538,0.0,0.4,0.6428571428571429,0.5384615384615384,0.6666666666666666,0.6,0.1428571428571428,0.2307692307692307,1.3333333333333333,1.0,2.071428571428572,1.8461538461538465,3.0,5.0,14.0,13.0,0.0107896153914015,-0.0123000470955338,0.0111795987990442,1.0,0.0108480332044145
2025-04-15,214.32,212.9,216.8,211.56,5790000.0,1.08%,0.0108480332044145,0.0107896153914015,1.0,0.0108480332044145,0.0225546449219772,0.0239919085662996,0.3580438882375064,0.3808597412653748,0.0246124941286989,1,5.0,0.75288,0.247041205065066,3.7644,0.0155631294013855,0.0274296035389284,0.8,2.0,0.4,0.0,1.0,0.0,0.0,0.8,0.2,0.0,True,0,0.5152625,0.4655999999999999,0.4913600000000001,0.46658,-0.0015103159252095,-0.0117542032435649,0.0087379653863381,0.0069521239688535,0.75,0.6666666666666666,0.8,0.8,0.125,0.3333333333333333,0.2,0.2,0.25,0.0,0.4,0.4,0.125,0.6666666666666666,0.6,0.4,0.75,1.3333333333333333,1.0,0.2,8.0,3.0,5.0,5.0,-0.0123000470955338,0.0111795987990442,-0.0056211502704299,0.0,0.0122247107129526
2025-04-16,211.7,216.0,217.0,210.1,3200000.0,-1.22%,-0.0122247107129526,-0.0123000470955338,0.0,0.0122247107129526,0.0175801609454135,0.0240829743498319,0.2790764032203268,0.3823053657624174,0.0319444444444444,1,5.0,0.5690999999999999,0.6368968872588403,2.8455,0.0048150204686002,0.0128419663850887,0.4,0.6,0.8,0.0,0.8,0.2,0.0,0.4,0.2,0.4,True,0,0.75288,0.5152625,0.4655999999999999,0.5504142857142857,0.0155631294013855,-0.0015103159252095,-0.0117542032435649,0.0117050874135211,1.0,0.75,0.6666666666666666,0.7857142857142857,0.0,0.125,0.3333333333333333,0.2142857142857142,0.8,0.25,0.0,0.6428571428571429,0.2,0.125,0.6666666666666666,0.1428571428571428,0.4,0.75,1.3333333333333333,2.071428571428572,5.0,8.0,3.0,14.0,0.0111795987990442,-0.0056211502704299,-0.0056211502704299,1.0,0.0112423240434578
2025-04-17,214.08,212.9,214.69,211.01,1860000.0,1.12%,0.0112423240434578,0.0111795987990442,1.0,0.0112423240434578,0.0116017635637067,0.0242030670585278,0.1841722869560306,0.3842117784113054,0.0172851103804603,1,1.0,0.918,,0.918,0.0232558139534883,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True,0,0.5690999999999999,0.75288,0.5152625,0.4913600000000001,0.0048150204686002,0.0155631294013855,-0.0015103159252095,0.0087379653863381,0.8,1.0,0.75,0.8,0.2,0.0,0.125,0.2,0.4,0.8,0.25,0.4,0.2,0.2,0.125,0.6,0.8,0.4,0.75,1.0,5.0,5.0,8.0,5.0,-0.0056211502704299,-0.0056211502704299,-0.0056211502704299,0.0,0.0056053811659193
2025-04-18,212.88,216.7,216.7,212.5,1710000.0,-0.56%,-0.0056053811659193,-0.0056211502704299,0.0,0.0056053811659193,0.010276524787436,0.0242177257632166,0.1631347735772794,0.3844444781341985,0.0193816335948315,1,5.0,0.13154,0.7513869329446713,0.6577,-0.0019850895075966,0.0202104427861598,1.0,0.4,1.0,0.0,0.4,0.6,0.0,0.2,0.4,0.4,True,0,0.918,0.5690999999999999,0.75288,0.4655999999999999,0.0232558139534883,0.0048150204686002,0.0155631294013855,-0.0117542032435649,1.0,0.8,1.0,0.6666666666666666,0.0,0.2,0.0,0.3333333333333333,1.0,0.4,0.8,0.0,0.0,0.2,0.2,0.6666666666666666,0.0,0.8,0.4,1.3333333333333333,1.0,5.0,5.0,3.0,-0.0056211502704299,-0.0056211502704299,-0.0030580344218839,0.0,0.0056053811659193
2025-04-19,212.88,216.7,216.7,212.5,1710000.0,-0.56%,-0.0056053811659193,-0.0056211502704299,0.0,0.0056053811659193,0.010276524787436,0.0242177257632166,0.1631347735772794,0.3844444781341985,0.0193816335948315,0,4.0,0.8585,0.2549011442370028,3.434,0.0057510382437953,0.0038802791882392,1.25,3.0,2.5,0.25,1.0,0.0,0.0,0.75,0.0,0.25,True,0,0.13154,0.918,0.5690999999999999,0.5152625,-0.0019850895075966,0.0232558139534883,0.0048150204686002,-0.0015103159252095,0.4,1.0,0.8,0.75,0.6,0.0,0.2,0.125,0.2,1.0,0.4,0.25,0.4,0.0,0.2,0.125,1.0,0.0,0.8,0.75,5.0,1.0,5.0,8.0,-0.0056211502704299,-0.0030580344218839,0.0049352641828488,0.0,0.0056053811659193
2025-04-20,212.88,216.7,216.7,212.5,1710000.0,-0.56%,-0.0056053811659193,-0.0056211502704299,0.0,0.0056053811659193,0.010276524787436,0.0242177257632166,0.1631347735772794,0.3844444781341985,0.0193816335948315,0,5.0,0.28734,0.5486083648651376,1.4367,0.0046511627906976,0.0104003161744176,0.4,0.6,0.0,0.0,0.6,0.2,0.2,0.2,0.0,0.8,True,0,0.8585,0.13154,0.918,0.75288,0.0057510382437953,-0.0019850895075966,0.0232558139534883,0.0155631294013855,1.0,0.4,1.0,1.0,0.0,0.6,0.0,0.0,0.75,0.2,1.0,0.8,0.0,0.4,0.0,0.2,2.5,1.0,0.0,0.4,4.0,5.0,1.0,5.0,-0.0030580344218839,0.0049352641828488,0.0050509881962509,0.0,0.003053363397219
