date,post_count,vader_compound_mean,vader_compound_std,vader_compound_sum,lm_net_mean,lm_net_std,lm_negative_mean,lm_positive_mean,lm_uncertainty_mean,lm_litigious_mean,pct_positive_vader,pct_negative_vader,pct_neutral_vader,pct_positive_lm,pct_negative_lm,pct_neutral_lm
2025-04-01,1,0.8666,,0.8666,0.007352941176470588,,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025-04-02,4,0.36745,0.42762136289011565,1.4698,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.0,1.0
2025-04-03,12,0.44854166666666667,0.4203940823438134,5.3825,-0.005296039688958934,0.01783699502562273,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666
2025-04-04,5,0.35718,0.7900806237340591,1.7859,0.002116589805490811,0.01752963558090158,1.4,2.8,1.8,0.2,0.6,0.2,0.2,0.6,0.2,0.2
2025-04-05,6,0.2617333333333333,0.7106225571051531,1.5704,0.0029755922250851254,0.0070230999804438195,1.1666666666666667,1.5,1.1666666666666667,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5
2025-04-06,4,0.726,0.417100651322116,2.904,-0.013616071428571429,0.017180251254369516,1.75,0.75,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.5
2025-04-07,10,0.10907,0.7411823258221362,1.0907,-0.024234328981810892,0.047529406722053254,1.1,0.9,0.7,0.0,0.6,0.4,0.0,0.3,0.4,0.3
2025-04-08,4,0.48619999999999997,0.6425629567080049,1.9447999999999999,-0.00024703557312252995,0.01815557408789171,0.25,0.5,0.75,0.0,0.75,0.25,0.0,0.25,0.25,0.5
2025-04-09,13,0.7005538461538462,0.4505306068318863,9.1072,0.007826440061497257,0.01925385206565228,0.7692307692307693,1.9230769230769231,1.8461538461538463,0.0,0.8461538461538461,0.15384615384615385,0.0,0.5384615384615384,0.23076923076923078,0.23076923076923078
2025-04-10,5,0.46658,0.7206782895300787,2.3329,0.0069521239688535965,0.032246321898880534,0.8,1.2,0.2,0.2,0.8,0.2,0.0,0.4,0.4,0.2
2025-04-11,14,0.5504142857142857,0.6576827150126219,7.7058,0.011705087413521192,0.027470354057942396,3.5714285714285716,4.571428571428571,2.0714285714285716,0.14285714285714285,0.7857142857142857,0.21428571428571427,0.0,0.6428571428571429,0.14285714285714285,0.21428571428571427
2025-04-12,5,0.4913600000000001,0.5911148729308036,2.4568000000000003,0.008737965386338187,0.03699664606252381,1.4,1.4,1.0,0.0,0.8,0.2,0.0,0.4,0.6,0.0
2025-04-13,3,0.46559999999999996,0.5631257142059843,1.3967999999999998,-0.011754203243564946,0.010812451896458363,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333
2025-04-14,8,0.5152625,0.5742872898210442,4.1221,-0.0015103159252095424,0.016794087596399537,0.375,0.875,0.75,0.0,0.75,0.125,0.125,0.25,0.125,0.625
2025-04-15,5,0.75288,0.24704120506506602,3.7644,0.015563129401385567,0.027429603538928447,0.8,2.0,0.4,0.0,1.0,0.0,0.0,0.8,0.2,0.0
2025-04-16,5,0.5690999999999999,0.6368968872588403,2.8455,0.004815020468600296,0.012841966385088789,0.4,0.6,0.8,0.0,0.8,0.2,0.0,0.4,0.2,0.4
2025-04-17,1,0.918,,0.918,0.023255813953488372,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025-04-18,5,0.13154,0.7513869329446713,0.6577,-0.001985089507596613,0.020210442786159803,1.0,0.4,1.0,0.0,0.4,0.6,0.0,0.2,0.4,0.4
2025-04-19,4,0.8585,0.25490114423700283,3.434,0.005751038243795397,0.0038802791882392106,1.25,3.0,2.5,0.25,1.0,0.0,0.0,0.75,0.0,0.25
2025-04-20,5,0.28734000000000004,0.5486083648651376,1.4367,0.004651162790697674,0.010400316174417626,0.4,0.6,0.0,0.0,0.6,0.2,0.2,0.2,0.0,0.8
2025-04-21,8,0.6378625,0.4191231968134702,5.1029,0.0018490219825370656,0.013980713711869373,0.5,0.625,1.125,0.125,0.75,0.0,0.25,0.375,0.375,0.25
2025-04-22,6,0.2839,0.7634687524712456,1.7034,0.004385612955200583,0.020236671235829815,1.3333333333333333,1.8333333333333333,0.6666666666666666,0.16666666666666666,0.5,0.5,0.0,0.5,0.3333333333333333,0.16666666666666666
2025-04-23,3,0.6335666666666667,0.23193381239770391,1.9007,0.003436426116838488,0.005952064630820884,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
2025-04-24,16,0.66396875,0.4101912069896997,10.6235,-0.0025834994937802918,0.023992190080136547,1.25,1.1875,1.5625,0.0,0.9375,0.0625,0.0,0.3125,0.375,0.3125
