"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2025","273.57","271.25","274.49","270.39","4.28M","1.17%"
"12/26/2025","270.40","267.46","271.00","267.25","3.33M","1.10%"
"12/24/2025","267.46","265.00","268.68","265.00","1.48M","0.99%"
"12/23/2025","264.84","267.00","267.50","264.50","1.17M","-0.76%"
"12/22/2025","266.87","268.50","269.00","266.00","1.69M","-0.42%"
"12/19/2025","267.99","270.00","271.70","267.38","1.87M","-0.48%"
"12/18/2025","269.29","272.00","272.00","268.75","2.91M","-0.75%"
"12/17/2025","271.33","275.49","275.98","270.00","3.61M","-1.55%"
"12/16/2025","275.60","279.49","280.49","274.50","3.97M","-1.10%"
"12/15/2025","278.67","279.89","280.80","276.82","6.87M","1.29%"
"12/12/2025","275.11","273.35","275.99","271.25","4.32M","0.84%"
"12/11/2025","272.83","277.90","279.10","272.35","8.80M","0.97%"
"12/10/2025","270.21","273.50","273.75","269.80","3.00M","-0.80%"
"12/09/2025","272.40","275.99","276.95","271.26","4.11M","-0.71%"
"12/08/2025","274.36","274.65","278.20","273.50","5.50M","-0.08%"
"12/05/2025","274.58","273.87","276.00","271.25","6.62M","1.44%"
"12/04/2025","270.67","270.90","271.99","266.40","1.96M","0.49%"
"12/03/2025","269.34","270.60","270.60","264.91","2.66M","0.73%"
"12/02/2025","267.39","272.70","273.50","266.66","4.11M","-1.36%"
"12/01/2025","271.07","265.30","271.90","262.00","7.54M","2.21%"
"11/28/2025","265.21","261.00","266.00","261.00","9.01M","1.89%"
"11/27/2025","260.28","254.34","261.10","253.15","5.91M","2.63%"
"11/26/2025","253.62","249.64","255.50","246.00","4.16M","1.69%"
"11/25/2025","249.40","251.00","252.20","248.05","1.55M","-0.55%"
"11/24/2025","250.79","253.00","254.00","249.15","2.70M","-1.28%"
"11/21/2025","254.04","253.11","258.30","253.11","4.40M","-0.53%"
"11/20/2025","255.40","253.90","256.74","253.02","4.67M","1.64%"
"11/19/2025","251.29","246.89","253.90","245.42","4.97M","2.39%"
"11/18/2025","245.42","247.79","247.79","243.90","1.74M","-0.37%"
"11/17/2025","246.34","248.48","250.70","245.48","2.96M","-0.44%"
"11/14/2025","247.42","244.15","249.00","243.25","3.34M","1.76%"
"11/13/2025","243.15","241.25","243.88","240.70","2.37M","1.25%"
"11/12/2025","240.15","243.02","246.47","238.20","5.76M","-1.26%"
"11/11/2025","243.21","252.97","252.97","242.42","5.85M","-3.74%"
"11/10/2025","252.65","250.19","253.99","246.45","6.79M","2.69%"
"11/07/2025","246.04","244.70","247.50","242.00","3.22M","-0.91%"
"11/06/2025","248.30","251.97","252.00","247.37","3.48M","-1.02%"
"11/05/2025","250.87","255.06","255.99","249.25","3.46M","-1.29%"
"11/04/2025","254.16","257.00","257.32","252.30","3.05M","-1.23%"
"11/03/2025","257.32","259.00","259.90","256.90","3.41M","0.25%"
"10/31/2025","256.67","255.00","259.60","255.00","2.72M","1.13%"
"10/30/2025","253.80","260.00","260.00","253.06","2.43M","-1.08%"
"10/29/2025","256.58","258.80","260.20","255.00","4.01M","0.27%"
"10/28/2025","255.89","260.76","262.65","255.00","1.39M","-1.87%"
"10/27/2025","260.76","264.10","265.10","260.00","3.53M","-1.33%"
"10/24/2025","264.27","266.80","270.39","263.70","2.78M","-0.77%"
"10/23/2025","266.32","265.00","272.55","265.00","3.98M","-0.22%"
"10/22/2025","266.92","264.51","273.31","262.61","8.80M","0.87%"
"10/21/2025","264.63","260.00","268.00","260.00","6.00M","0.28%"
"10/20/2025","263.90","260.01","265.20","256.95","5.68M","2.20%"
"10/17/2025","258.21","259.95","262.30","257.10","6.47M","-0.26%"
"10/16/2025","258.88","260.00","262.80","257.50","4.53M","-0.68%"
"10/15/2025","260.64","267.40","267.40","258.80","4.52M","-1.36%"
"10/14/2025","264.23","255.99","265.10","254.11","7.82M","4.50%"
"10/13/2025","252.84","261.00","261.90","250.00","7.68M","-4.22%"
"10/10/2025","263.97","266.00","267.99","262.30","3.03M","-1.33%"
"10/09/2025","267.53","269.00","272.30","266.90","3.06M","-0.75%"
"10/08/2025","269.56","272.00","273.40","269.00","2.53M","-0.66%"
"10/07/2025","271.34","275.00","276.25","270.90","4.31M","-1.15%"
"10/06/2025","274.49","277.00","277.00","270.50","3.72M","-1.23%"
"10/03/2025","277.92","278.50","280.79","277.00","3.02M","-0.18%"
"10/02/2025","278.41","277.49","279.99","275.55","3.12M","0.62%"
"10/01/2025","276.69","278.00","280.50","275.90","6.11M","-0.19%"
"09/30/2025","277.23","282.70","284.80","276.12","9.77M","-1.52%"
"09/29/2025","281.50","282.00","282.00","278.06","4.92M","0.35%"
"09/26/2025","280.53","278.00","282.20","277.88","7.87M","0.95%"
"09/25/2025","277.88","282.86","284.70","276.20","10.97M","-1.76%"
"09/24/2025","282.86","285.80","287.74","281.45","13.70M","0.05%"
"09/23/2025","282.71","282.50","288.00","281.00","16.35M","0.74%"
"09/22/2025","280.64","278.00","284.10","277.94","9.75M","1.22%"
"09/19/2025","277.26","273.00","290.00","272.50","21.41M","1.89%"
"09/18/2025","272.12","274.40","274.40","271.00","4.16M","0.64%"
"09/17/2025","270.40","273.50","274.15","270.00","5.14M","-0.66%"
"09/16/2025","272.19","269.00","273.11","268.50","3.91M","1.37%"
"09/15/2025","268.52","268.98","271.25","267.50","2.59M","0.35%"
"09/12/2025","267.58","270.74","271.20","267.00","3.16M","-1.17%"
"09/11/2025","270.74","274.00","274.80","270.30","2.30M","-0.80%"
"09/10/2025","272.92","272.99","275.50","271.25","3.94M","-0.08%"
"09/09/2025","273.15","275.50","277.39","271.00","4.43M","-0.67%"
"09/08/2025","275.00","274.97","276.90","273.00","7.21M","0.74%"
"09/05/2025","272.98","270.70","274.80","268.55","11.59M","0.96%"
"09/04/2025","270.39","272.50","273.74","269.06","6.16M","-0.99%"
"09/03/2025","273.10","270.00","275.50","268.20","8.36M","1.40%"
"09/02/2025","269.32","271.97","272.78","268.00","6.92M","-0.38%"
"09/01/2025","270.35","264.31","272.00","264.20","10.45M","2.27%"
"08/29/2025","264.36","261.40","271.25","260.00","14.51M","1.19%"
"08/28/2025","261.24","260.53","262.00","259.90","2.20M","0.35%"
"08/27/2025","260.33","261.00","261.99","259.02","2.74M","-0.03%"
"08/26/2025","260.42","263.94","264.70","259.50","4.34M","-0.21%"
"08/25/2025","260.97","262.55","264.25","260.23","2.54M","-0.82%"
"08/22/2025","263.13","262.00","268.70","261.20","12.45M","0.83%"
"08/21/2025","260.97","259.01","262.15","255.55","9.48M","1.05%"
"08/20/2025","258.27","260.00","261.00","257.00","5.29M","-0.55%"
"08/19/2025","259.71","263.97","264.38","259.00","7.63M","-1.46%"
"08/18/2025","263.57","263.01","264.90","258.66","8.84M","0.38%"
"08/15/2025","262.58","270.00","271.65","261.01","8.77M","-2.57%"
"08/13/2025","269.50","272.00","274.00","268.18","11.22M","-0.75%"
"08/12/2025","271.54","278.50","279.35","269.40","15.70M","-2.00%"
"08/11/2025","277.09","269.96","278.50","267.46","12.02M","2.44%"
"08/08/2025","270.48","267.20","276.99","267.20","19.94M","1.27%"
"08/07/2025","267.08","263.02","269.88","263.00","16.98M","1.85%"
"08/06/2025","262.24","259.77","263.40","257.65","8.99M","1.20%"
"08/05/2025","259.14","260.00","264.50","256.00","12.66M","-0.42%"
"08/04/2025","260.22","265.00","269.00","259.12","17.82M","1.78%"
"08/01/2025","255.67","233.45","256.31","231.01","37.05M","9.72%"
"07/31/2025","233.01","228.00","238.00","228.00","24.21M","3.66%"
"07/30/2025","224.78","223.40","226.00","223.40","1.48M","0.33%"
"07/29/2025","224.04","226.99","227.48","222.05","1.83M","-1.36%"
"07/28/2025","227.13","227.10","229.10","223.51","9.30M","0.54%"
"07/25/2025","225.91","225.33","226.98","224.23","2.02M","0.26%"
"07/24/2025","225.33","227.00","228.70","225.00","1.88M","-0.40%"
"07/23/2025","226.23","228.40","231.00","225.52","4.49M","-0.18%"
"07/22/2025","226.63","222.00","229.00","221.01","6.60M","2.46%"
"07/21/2025","221.18","223.28","223.99","220.99","2.49M","-0.94%"
"07/18/2025","223.28","226.00","228.10","223.00","2.84M","-0.84%"
"07/17/2025","225.18","224.80","227.98","224.10","3.41M","0.36%"
"07/16/2025","224.37","223.80","226.00","222.85","2.36M","-0.03%"
"07/15/2025","224.43","227.50","228.00","224.00","2.30M","-1.18%"
"07/14/2025","227.11","228.84","229.20","226.00","2.39M","-0.34%"
"07/11/2025","227.89","227.05","229.01","226.10","2.76M","0.56%"
"07/10/2025","226.62","228.02","228.09","225.80","2.90M","-0.61%"
"07/09/2025","228.02","228.99","230.00","225.06","7.17M","-0.53%"
"07/08/2025","229.24","229.50","231.55","227.51","4.16M","0.04%"
"07/07/2025","229.14","227.28","230.00","226.51","3.42M","0.82%"
"07/04/2025","227.28","229.67","230.00","226.52","2.46M","-0.79%"
"07/03/2025","229.09","224.13","230.00","224.00","9.42M","2.77%"
"07/02/2025","222.92","222.45","223.99","221.31","4.66M","0.61%"
"07/01/2025","221.57","220.30","223.00","218.99","4.59M","0.46%"
"06/30/2025","220.56","224.00","224.00","220.00","4.32M","-0.28%"
"06/27/2025","221.19","217.50","226.00","216.75","9.56M","1.79%"
"06/26/2025","217.29","218.00","222.49","216.11","6.97M","-0.26%"
"06/25/2025","217.85","218.39","219.01","216.10","6.81M","-0.07%"
"06/24/2025","218.01","216.00","220.30","211.00","9.16M","6.94%"
"06/23/2025","203.86","210.00","210.50","202.00","4.60M","-3.95%"
"06/20/2025","212.25","211.00","215.00","210.11","2.71M","0.75%"
"06/19/2025","210.68","213.55","216.01","209.85","4.40M","-0.23%"
"06/18/2025","211.17","214.26","214.26","210.50","3.68M","-1.44%"
"06/17/2025","214.26","213.00","215.45","212.00","5.63M","0.57%"
"06/16/2025","213.05","209.40","214.40","209.40","4.64M","2.01%"
"06/13/2025","208.86","211.00","212.20","208.23","5.20M","-1.50%"
"06/12/2025","212.05","217.00","218.99","211.26","8.62M","-1.51%"
"06/11/2025","215.31","212.65","216.45","212.10","8.78M","2.37%"
"06/10/2025","210.32","210.00","211.39","209.00","1.19M","0.18%"
"06/05/2025","209.95","211.89","212.50","209.50","2.23M","-0.92%"
"06/04/2025","211.89","209.15","213.13","208.95","4.38M","1.31%"
"06/03/2025","209.15","208.00","210.00","207.25","1.91M","0.56%"
"06/02/2025","207.98","211.38","213.50","206.50","3.67M","-0.72%"
"05/30/2025","209.49","209.10","210.10","207.50","1.91M","0.15%"
"05/29/2025","209.17","210.47","211.15","208.80","2.26M","-0.11%"
"05/27/2025","209.41","209.25","210.90","208.00","4.44M","0.22%"
"05/26/2025","208.95","213.00","213.80","207.15","3.43M","-1.61%"
"05/23/2025","212.37","212.80","213.70","210.60","1.69M","0.22%"
"05/22/2025","211.90","213.74","216.50","210.45","5.09M","-0.86%"
"05/21/2025","213.74","210.30","214.50","209.50","4.45M","1.93%"
"05/20/2025","209.70","210.98","212.00","209.50","1.45M","-0.94%"
"05/19/2025","211.70","213.00","213.51","209.40","4.67M","0.09%"
"05/16/2025","211.50","214.89","214.89","211.00","2.62M","-1.04%"
"05/15/2025","213.73","213.05","215.90","211.35","6.85M","0.50%"
"05/14/2025","212.67","217.90","217.90","211.50","9.74M","-2.74%"
"05/13/2025","218.66","209.00","219.99","203.50","30.91M","7.71%"
"05/12/2025","203.01","203.01","203.01","202.90","3.45M","10.00%"
"05/09/2025","184.55","179.99","185.75","174.26","9.34M","2.88%"
"05/08/2025","179.39","197.77","200.48","176.97","10.63M","-8.77%"
"05/07/2025","196.63","190.11","201.99","190.11","8.43M","-3.10%"
"05/06/2025","202.93","200.90","207.90","200.02","5.94M","1.35%"
"05/05/2025","200.22","204.00","204.00","199.51","1.96M","-1.49%"
"05/02/2025","203.25","203.00","204.48","202.25","2.12M","1.43%"
"04/30/2025","200.38","207.00","207.00","197.10","5.33M","-3.58%"
"04/29/2025","207.81","206.12","209.00","204.00","2.66M","-0.09%"
"04/28/2025","208.00","212.37","213.55","207.50","1.71M","-2.06%"
"04/25/2025","212.37","212.00","213.70","207.21","4.09M","0.32%"
"04/24/2025","211.69","211.80","214.00","210.00","3.50M","-1.25%"
"04/23/2025","214.36","213.28","217.15","211.05","5.15M","0.51%"
"04/22/2025","213.28","212.49","214.99","211.50","2.07M","0.49%"
"04/21/2025","212.23","213.90","215.00","211.52","2.90M","-0.31%"
"04/18/2025","212.88","216.70","216.70","212.50","1.71M","-0.56%"
"04/17/2025","214.08","212.90","214.69","211.01","1.86M","1.12%"
"04/16/2025","211.70","216.00","217.00","210.10","3.20M","-1.22%"
"04/15/2025","214.32","212.90","216.80","211.56","5.79M","1.08%"
"04/14/2025","212.02","213.50","215.00","210.45","2.03M","-0.07%"
"04/11/2025","212.16","214.75","214.75","211.75","2.69M","-1.21%"
"04/10/2025","214.75","217.00","219.00","214.00","5.63M","2.99%"
"04/09/2025","208.52","212.00","213.80","205.00","5.51M","-2.96%"
"04/08/2025","214.89","215.99","218.15","214.05","6.19M","0.85%"
"04/07/2025","213.07","224.00","224.00","204.09","11.61M","-6.04%"
"04/04/2025","226.77","235.00","235.70","226.01","4.44M","-3.37%"
"04/03/2025","234.68","232.89","236.00","230.02","3.18M","0.84%"
"03/27/2025","232.73","233.44","233.99","230.40","2.61M","-0.01%"
"03/26/2025","232.75","233.01","235.00","228.25","8.94M","3.82%"
"03/25/2025","224.19","218.26","225.00","215.20","6.13M","2.76%"
"03/24/2025","218.17","228.00","228.00","216.30","3.95M","-4.04%"
"03/21/2025","227.35","226.80","229.15","226.50","3.22M","0.24%"
"03/20/2025","226.81","226.10","229.74","225.60","4.92M","0.59%"
"03/19/2025","225.48","223.50","226.98","221.50","4.16M","1.08%"
"03/18/2025","223.06","223.45","226.49","221.98","5.50M","0.76%"
"03/17/2025","221.38","218.00","223.40","218.00","4.23M","1.28%"
"03/14/2025","218.59","218.90","219.90","217.90","1.59M","0.14%"
"03/13/2025","218.28","217.24","219.80","216.75","3.10M","0.48%"
"03/12/2025","217.24","219.94","221.80","216.10","4.56M","-0.72%"
"03/11/2025","218.82","214.50","220.00","210.80","8.14M","1.89%"
"03/10/2025","214.77","216.75","219.90","213.01","6.10M","-4.05%"
"03/07/2025","223.84","223.57","228.00","222.75","8.87M","0.57%"
"03/06/2025","222.58","212.90","224.00","211.62","18.05M","4.54%"
"03/05/2025","212.91","213.49","214.75","212.55","2.30M","-0.19%"
"03/04/2025","213.32","211.50","213.50","211.50","1.63M","0.74%"
"03/03/2025","211.76","212.65","214.00","211.22","1.57M","-0.39%"
"02/28/2025","212.59","213.00","214.75","211.55","5.00M","0.23%"
"02/27/2025","212.11","208.20","214.15","208.20","4.50M","1.55%"
"02/26/2025","208.88","212.90","214.00","208.11","2.76M","-2.09%"
"02/25/2025","213.33","211.67","218.00","211.67","8.38M","1.41%"
"02/24/2025","210.37","202.51","211.75","201.00","6.34M","3.76%"
"02/21/2025","202.75","205.10","205.51","202.00","825.16K","-1.01%"
"02/20/2025","204.81","204.80","208.50","204.00","3.83M","0.00%"
"02/19/2025","204.80","206.55","207.50","203.45","1.32M","-0.46%"
"02/18/2025","205.74","200.90","206.27","199.00","2.12M","3.16%"
"02/17/2025","199.44","202.85","202.85","199.00","939.28K","-1.20%"
"02/14/2025","201.86","206.44","208.00","201.00","1.33M","-2.21%"
"02/13/2025","206.43","209.10","212.60","205.85","2.87M","-1.28%"
"02/12/2025","209.10","208.19","210.37","206.01","2.90M","0.44%"
"02/11/2025","208.19","202.19","210.11","201.52","7.36M","3.59%"
"02/10/2025","200.97","198.50","202.89","196.40","2.12M","1.24%"
"02/07/2025","198.51","196.50","199.99","195.52","2.35M","1.57%"
"02/06/2025","195.44","200.01","200.70","192.15","6.28M","-2.22%"
"02/04/2025","199.88","203.00","204.30","198.50","2.90M","-1.39%"
"02/03/2025","202.69","209.00","209.00","202.05","1.83M","-1.85%"
"01/31/2025","206.51","207.00","210.90","205.65","3.99M","-0.17%"
"01/30/2025","206.87","204.00","208.00","203.00","4.30M","1.79%"
"01/29/2025","203.24","204.00","205.97","201.10","3.82M","-0.18%"
"01/28/2025","203.60","208.50","208.50","201.23","5.22M","-2.63%"
"01/27/2025","209.11","213.00","213.55","208.90","2.90M","-1.56%"
"01/24/2025","212.43","214.75","216.50","211.80","2.14M","-0.69%"
"01/23/2025","213.91","214.00","218.00","212.50","3.08M","-0.04%"
"01/22/2025","213.99","218.00","219.00","213.00","3.25M","-1.94%"
"01/21/2025","218.23","222.10","225.25","217.01","3.40M","-1.94%"
"01/20/2025","222.54","223.00","225.85","222.01","3.84M","0.28%"
"01/17/2025","221.91","218.00","223.30","216.75","4.63M","1.44%"
"01/16/2025","218.75","222.49","222.50","218.01","2.70M","-1.36%"
"01/15/2025","221.77","222.99","226.23","219.40","5.71M","-0.17%"
"01/14/2025","222.15","225.88","225.88","221.00","3.37M","-1.23%"
"01/13/2025","224.91","227.20","228.75","222.20","7.65M","-0.02%"
"01/10/2025","224.96","212.40","230.00","209.09","10.28M","5.60%"
"01/09/2025","213.03","213.50","216.90","208.11","5.56M","0.04%"
"01/08/2025","212.95","220.00","223.00","211.50","4.03M","-2.49%"
"01/07/2025","218.38","213.56","219.49","205.80","6.98M","2.26%"
"01/06/2025","213.56","223.99","224.89","210.10","6.18M","-3.84%"
"01/03/2025","222.08","224.25","224.25","218.01","3.51M","-1.07%"
"01/02/2025","224.49","229.15","231.25","222.10","5.67M","-1.75%"
"01/01/2025","228.50","225.60","230.00","223.01","5.27M","0.88%"
"12/31/2024","226.51","234.99","234.99","226.02","8.60M","0.63%"
"12/30/2024","225.10","223.45","227.20","222.30","5.80M","1.17%"
"12/27/2024","222.49","218.00","225.40","216.55","5.77M","2.29%"
"12/26/2024","217.50","232.00","232.00","217.50","9.13M","-5.43%"
"12/24/2024","230.00","233.90","255.40","227.00","23.06M","-1.50%"
"12/23/2024","233.50","216.99","234.00","215.49","14.96M","8.35%"
"12/20/2024","215.50","210.00","216.49","206.51","6.06M","3.11%"
"12/19/2024","209.00","221.90","224.00","209.00","14.17M","-5.13%"
"12/18/2024","220.30","228.00","233.00","217.00","13.98M","-0.77%"
"12/17/2024","222.00","235.40","235.99","216.75","9.57M","-5.69%"
"12/16/2024","235.40","225.25","235.50","225.25","12.69M","5.09%"
"12/13/2024","224.00","214.12","225.00","213.00","17.02M","5.66%"
"12/12/2024","212.00","206.41","214.99","206.41","20.63M","3.21%"
"12/11/2024","205.40","194.00","206.90","193.70","17.78M","6.26%"
"12/10/2024","193.30","198.00","198.40","190.35","5.33M","-2.18%"
"12/09/2024","197.60","194.86","199.27","193.00","6.76M","1.62%"
"12/06/2024","194.45","198.20","198.90","194.01","3.28M","-1.55%"
"12/05/2024","197.52","193.50","198.20","192.30","8.15M","2.29%"
"12/04/2024","193.10","192.10","193.80","190.50","4.67M","0.31%"
"12/03/2024","192.50","191.50","193.25","188.70","6.05M","0.00%"
"12/02/2024","192.50","195.25","202.89","190.20","19.61M","-1.03%"
"11/29/2024","194.50","194.00","197.75","190.75","7.95M","0.03%"
"11/28/2024","194.45","188.89","194.85","188.80","11.21M","2.83%"
"11/27/2024","189.09","190.00","190.55","184.00","7.51M","4.90%"
"11/26/2024","180.25","192.00","192.00","177.75","8.46M","-6.65%"
"11/25/2024","193.09","194.01","195.50","192.00","4.09M","-0.92%"
"11/22/2024","194.88","198.96","203.25","193.60","8.79M","-1.92%"
"11/21/2024","198.70","194.99","201.50","193.70","9.21M","1.95%"
"11/20/2024","194.90","195.98","198.80","193.00","6.02M","-0.13%"
"11/19/2024","195.15","194.50","196.50","194.10","2.65M","0.46%"
"11/18/2024","194.25","194.00","195.90","191.45","3.20M","0.22%"
"11/15/2024","193.83","194.70","198.00","193.30","6.61M","-0.35%"
"11/14/2024","194.52","191.00","196.61","191.00","8.13M","2.38%"
"11/13/2024","190.00","194.69","195.89","188.96","6.48M","-2.30%"
"11/12/2024","194.48","199.50","199.50","193.20","6.02M","-2.27%"
"11/11/2024","199.00","191.80","199.50","191.80","10.98M","3.54%"
"11/08/2024","192.20","183.05","193.50","181.50","10.75M","5.03%"
"11/07/2024","183.00","178.52","184.10","178.52","7.98M","2.23%"
"11/06/2024","179.00","182.10","182.50","177.90","8.02M","-2.05%"
"11/05/2024","182.75","180.45","185.80","180.15","10.14M","0.71%"
"11/04/2024","181.47","181.49","182.50","176.51","9.47M","0.70%"
"11/01/2024","180.20","171.99","181.00","170.11","14.11M","4.62%"
"10/31/2024","172.25","174.05","175.00","170.53","4.57M","-1.23%"
"10/30/2024","174.40","176.28","181.15","172.50","9.31M","-0.85%"
"10/29/2024","175.90","175.00","176.00","172.89","4.84M","0.98%"
"10/28/2024","174.20","176.50","180.10","174.00","7.32M","-1.58%"
"10/25/2024","177.00","177.10","182.80","173.00","22.42M","0.43%"
"10/24/2024","176.25","169.48","177.75","169.20","10.91M","4.30%"
"10/23/2024","168.99","167.40","169.80","166.06","4.64M","1.19%"
"10/22/2024","167.00","166.50","169.42","166.50","3.32M","0.24%"
"10/21/2024","166.60","165.50","167.55","165.50","2.24M","1.09%"
"10/18/2024","164.80","168.54","168.54","164.50","2.32M","-1.82%"
"10/17/2024","167.85","170.00","171.25","167.51","2.50M","-1.09%"
"10/16/2024","169.70","167.00","170.85","167.00","6.09M","-0.06%"
"10/15/2024","169.80","167.00","171.25","164.00","4.93M","1.68%"
"10/14/2024","167.00","169.99","170.00","166.80","3.00M","-1.47%"
"10/11/2024","169.50","171.00","175.10","168.21","5.64M","-0.99%"
"10/10/2024","171.20","169.50","173.25","168.00","8.15M","1.09%"
"10/09/2024","169.35","172.00","174.54","168.95","7.20M","-1.37%"
"10/08/2024","171.70","169.10","174.54","168.50","16.68M","1.48%"
"10/07/2024","169.19","154.99","169.80","154.60","20.72M","9.52%"
"10/04/2024","154.49","150.00","155.80","149.02","11.58M","2.99%"
"10/03/2024","150.00","148.45","150.00","147.90","5.35M","1.35%"
"10/02/2024","148.00","145.20","148.45","144.71","5.43M","1.58%"
"10/01/2024","145.70","143.80","146.75","142.71","5.72M","1.25%"
"09/30/2024","143.90","144.46","144.60","142.50","2.60M","-0.07%"
"09/27/2024","144.00","143.75","144.59","142.80","3.49M","0.70%"
"09/26/2024","143.00","145.50","146.20","142.95","9.86M","-1.16%"
"09/25/2024","144.68","139.80","144.85","139.06","12.71M","3.71%"
"09/24/2024","139.51","139.44","140.20","136.80","7.70M","0.19%"
"09/23/2024","139.25","141.98","144.00","137.20","23.08M","-1.42%"
"09/20/2024","141.25","145.99","146.39","140.30","29.41M","-3.02%"
"09/19/2024","145.65","142.95","148.00","142.05","11.44M","2.01%"
"09/18/2024","142.78","141.40","143.44","140.75","4.28M","1.22%"
"09/16/2024","141.06","142.00","144.50","140.45","6.93M","-0.80%"
"09/13/2024","142.20","140.11","144.40","139.41","14.13M","2.67%"
"09/12/2024","138.50","137.06","139.50","137.00","5.11M","0.97%"
"09/11/2024","137.17","136.00","137.83","134.60","4.19M","1.05%"
"09/10/2024","135.75","136.44","136.74","135.00","1.68M","-0.47%"
"09/09/2024","136.39","137.30","138.70","136.00","2.07M","-0.26%"
"09/06/2024","136.75","137.25","137.89","136.50","1.32M","-0.36%"
"09/05/2024","137.25","137.69","138.65","136.45","3.49M","-0.15%"
"09/04/2024","137.45","134.60","138.70","134.60","13.00M","2.38%"
"09/03/2024","134.25","133.50","134.70","133.50","1.14M","0.57%"
